name,artist,release_year,id,genre
GEEK TIMË,Yeat,2024,32ioWMgkyA6mFcXJMggBoz,hip-hop
Gang Baby,NLE Choppa,2024,76Ku9OBFK1NjMylR8r4WLK,hip-hop
K.O.,"LAVINIA, Ely Oaks",2024,7r2cCbhAbGUE4Izor1ZnlZ,electronic
Kamikaze (feat. Victor Mendivil),"Natanael Cano, Uriel Gaxiola, Ganggy, Victor Mendivil",2024,6fKvGaO8Dfntvx4thaXtak,latin
King Shit,Shubh,2024,1BpvuKIG7jK5EiTp2tv5z8,hip-hop
Küle Dönmüşsün,"Semicenk, Doğu Swag",2024,2CZzw0He9fzyi2FkBkn4Bk,turkish
MMS,"Asake, Wizkid",2024,13VXuHw3O8Yt7VwRIDqSo4,"afrobeats, ambient, arabic"
NISSAN ALTIMA,Doechii,2024,2dKkVF2m160z0RNDN2dddc,hip-hop
S P E Y S I D E,Bon Iver,2024,6khKJVbTxzfhbGfHMtyOM8,folk
SE TE NOTA (feat. Peso Pluma),"Myke Towers, Peso Pluma",2024,1iIrqtbY2aogEHhQkmrV7w,latin
Small girl (feat. D.O.),"Lee Young Ji, D.O.",2024,1AtFSBJibfaqfiOByQCwZ5,k-pop
Supernova,aespa,2024,2VdSktBqFfkW7y6q5Ik4Z4,k-pop
Touches,Somnum Magnam,2024,6KzdWw8Hi1bz1lVw2AXDzb,ambient
WHINE IN BRAZIL FUNK,Ichiss,2024,1Xvs6IKi0O1PWYzzIwxR2Q,brazilian
Wake Up & Bake Up,"Duki, Wiz Khalifa, Arcángel",2024,7MBHncxZXB7fzf5cAx8C05,hip-hop
Awolowo,Fido,2024,1136eJrkWsDvReASbjLTaU,ambient
Black Friday,Tom Odell,2024,0uvagCBJC0ClsR11W10T0Y,ambient
Fi Kan We Kan,"Bnxn, Rema",2024,771KDfpsOtJPQmocQpMdkR,"afrobeats, arabic"
Forever (feat. Malou & Yuna),"HUGEL, Diplo, Malou, Yuna",2024,0WS1qLcXKsCGt5e3dqq30S,electronic
Good To Be,Mark Ambor,2024,2tnSBYJyGGYD0Gbn07tTHZ,folk
JUJU (feat. Shallipopi),"Smur Lee, ODUMODUBLVCK, Shallipopi",2024,6XBIOtdSL47qn201KKNCA0,"afrobeats, arabic"
Leave Me Alone,BigXthaPlug,2024,4CkbpelT92r4dVkceDX9g1,hip-hop
Never Walk Alone,"BLOND:ISH, Stevie Appleton",2024,4HB7ECLzrbgapiZyLlFbxz,electronic
Old Money,AP Dhillon,2024,4WLDaQ8AgSwUgFoPzJkAYK,hip-hop
PONA NINI,"Tiakola, Genezio, Prototype",2024,6JCjcuo4VKAP4bHhbHj6fe,electronic
Que Se Cuide,"Luis R Conriquez, Joel De La P, Chimbala",2024,22jhscHs2DoVqKG5vKJytQ,latin
Un Día Más,"Duki, YSY A",2024,2m3v40xGeLVqnQvAwx5rdi,hip-hop
Bolide Noir,"Central Cee, JRK 19",2024,14DLZ9FaTofhnXBiV38axE,hip-hop
Brokey,Latto,2024,1JF8LkQWZ8grXb2emqrNKn,hip-hop
Castlevania,Matuê,2024,3Kh5a6vXMiJtC35jMEfmyy,hip-hop
Down With Me,Lil Tecca,2024,00n83h3zn2IrySO4Q4aTrG,hip-hop
For Life (feat. Nile Rodgers),"Kygo, Zak Abel, Nile Rodgers",2024,4QfikoJtCEiOj7G5R9m3sP,electronic
Insecurities,Lil Baby,2024,6afQ4fJDJ9QqU5BKIH99Ej,hip-hop
Kader Sağ Olsun,Semicenk,2024,2crO2eSwgjOoAanagD2sFc,turkish
MANON B,"Tiakola, Ryflo, Oskoow",2024,6C0SXfD7rR46MpWK5VJSEw,electronic
MVP,Shubh,2024,5BQePe9rcCJozHK3oPayYk,hip-hop
Problemas de um Milionário,"WIU, Teto",2024,0VybBobSYSzliyEJ1VqwGR,hip-hop
Sideways,"Gordo, Drake",2024,02YMpD1xbZZzpZbuZNvmD7,electronic
Sifar Safar,Karan Aujla,2024,3lQPwCmD918SyoiIkw1zqx,hip-hop
Sorry Not Sorry,"Lil Yachty, Veeze",2024,4lwfqyQXSDJ7kELpMErMih,hip-hop
Stronger,Young Jonn,2024,4KZMoDuxwSYP63bhbnMqe3,"afrobeats, arabic"
Sudden Shower,ECLIPSE,2024,1OhIn0L6iofnk5bjalWfHq,korean
WHATCHU KNO ABOUT ME (with Sexyy Red),"GloRilla, Sexyy Red",2024,4VI2Y5xg4gYynQqNQNQbTN,pop
晴る,ヨルシカ,2024,5eY7692tmgHB9dbmq6wa2M,j-pop
2 Slippery (feat. BossMan Dlow),"Luh Tyler, BossMan Dlow",2024,62oLxos6R04SVYL1lXidvu,hip-hop
2AM,BigXthaPlug,2024,26TX1oZbaDeKxfTYDclSAo,hip-hop
Are you there?,Ayo Maff,2024,10y7iW3rc8bzGbhAC3mNPA,"afrobeats, ambient"
Barcelona,"Alan Walker, Ina Wroldsen",2024,2GE3k8I0Sbh0puCjI15KGy,pop
Beaches,beabadoobee,2024,1a19jsjG2DvbN1fVJonKUU,rock
Blow for Blow (feat. J. Cole),"Tee Grizzley, J. Cole",2024,3rXlcLZk3MCaRPND5g9QiW,hip-hop
Born To Love Ya,"Gabry Ponte, Sean Paul, NATTI NATASHA",2024,5Nwh8kghoqebxmco5ZWbDt,electronic
Boyfriend,YEONJUN,2024,7dk7jxKBun1JQ2pPPBxDYl,korean
Famax - Edit,RAFFA GUIDO,2024,1P9ZF3ZxRWNTDgJkZOgkI9,electronic
Guay,"Ozuna, Bad Gyal",2024,1S3SAFqLBWk3HaR5UyXp43,latin
Lan,Zeynep Bastık,2024,1whKKdtCiFjN7MW7DrIRUH,turkish
Love You With All My Heart,Crush,2024,0UaaFmF3xUwMjnuAHBq7qL,korean
My Love (2024),"Alex Wann, Route 94, Jess Glynne",2024,2nljjiWhzVIugb5vgEMQQk,electronic
Nobody - from Kaiju No. 8,OneRepublic,2024,47N81NMkB488fuOwOC3Oip,j-pop
Smoothie,NCT DREAM,2024,5qrFeNSIrwIc0B6Elp16Dl,k-pop
Starburster,Fontaines D.C.,2024,09ttHg3ZNVgDlYBZa1ZBw0,rock
THINGS BEHIND THINGS BEHIND THINGS,Bon Iver,2024,2kyL1eP0mluFHYlAwKySzj,folk
Tantalizing,"Tiësto, Soaky Siren",2024,799db91cR00On6N158VLHS,electronic
Te Maceto Depois Do Baile,"DJ Zigão, DJ Lafon Do Md, Mc Rodrigo do CN, Mc Rf",2024,448158cOtdLyR59DJnzpON,brazilian
Tessera sanitaria (feat. Nerissima Serpe & Papa V),"Night Skinny, Nerissima Serpe, Papa V",2024,5JgTIfS7FfSE9tuebzX8HC,hip-hop
The Mountain Is You,Chance Peña,2024,3UN5BBwxoHbwFGxWNvaEj7,folk
World Gone Wild (feat. Sam Martin),"Robin Schulz, CYRIL, Sam Martin",2024,4arNFfHtD5FPYcpUUiUOM1,electronic
2 Times,"Dimitri Vegas, Steve Aoki, Ann Lee, Sound Of Legend",2024,03xIKiQXopptD4Sv8ijvcG,electronic
Abyss - from Kaiju No. 8,YUNGBLUD,2024,2kLWSmKHhfUBepkIA9oNe5,j-pop
Active,"Asake, Travis Scott",2024,1qxKva4IzWde7m2jLpZvDU,arabic
Como Pacman,"Alemán, Gera MX",2024,2TV1EuYnG5XqEyQSd1EB9X,latin
Conceited,Lil Uzi Vert,2024,1gUUuh7FQ3mr7nEq0SRvGX,hip-hop
Constantly,"Hyce, BoyPee, Brown Joel",2024,3MldGIMtPcupNBI4Dnxolr,afrobeats
Dealer,"Ayo Maff, Fireboy DML",2024,5Wxkvvb6pLky16pwq4gBI3,"afrobeats, ambient, arabic"
Deep In Your Love,"Alok, Bebe Rexha",2024,0sftzYE0YgPHXrvJyUyGjB,electronic
Favourite Girl (with Rema),"Darkoo, Rema",2024,2irQkcW7o3v0tZoGZrtUsO,afrobeats
Happier (feat. Clementine Douglas),"The Blessed Madonna, Clementine Douglas",2024,1TcF5F10EN17vraisG1gQv,electronic
Hm Hm hm,Youka,2024,1FEh2VLXCzHr4DhMLufrs5,afrobeats
Hold On Me,"Kygo, Sandro Cavazza",2024,4aPX3IT9cskOWmeZvOYc5s,electronic
Honey Boy (feat. Nile Rodgers & Shenseea),"Purple Disco Machine, Benjamin Ingrosso, Nile Rodgers, Shenseea",2024,1NpIUD4KqHaMT91kw0YV40,electronic
Kafamın İçi,"Ebru Yaşar, Siyam, Zeyd",2024,30kd9r9pbMn6bs6CKyFOCu,turkish
Knife Brows,Dhanda Nyoliwala,2024,5nIrIdLPPXeRMl8WXnnDv1,hip-hop
Love Is The Only Thing,Lost Frequencies,2024,4r6c2ClnuYLwNv4lEM7XlW,electronic
OZEBA,Rema,2024,7ySC0IjVS1PMEdsZOvsUK2,"afrobeats, arabic"
